Archetype,CommName,SciName,SpeciesCat,SpeciesCatName,Year,Catch,Price,region_name,IdOrig
Soft bottom,Blue crab (Alimasag),Callinectes sapidus,42,"Crabs, sea-spiders",2005.0,312.2,850.6797504955707,AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM)_Blue crab (Alimasag)
Soft bottom,Blue crab (Alimasag),Callinectes sapidus,42,"Crabs, sea-spiders",2006.0,347.13,936.7978337371137,AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM)_Blue crab (Alimasag)
Soft bottom,Blue crab (Alimasag),Callinectes sapidus,42,"Crabs, sea-spiders",2007.0,466.8,1283.323493012419,AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM)_Blue crab (Alimasag)
Soft bottom,Blue crab (Alimasag),Callinectes sapidus,42,"Crabs, sea-spiders",2008.0,637.13,1534.991878125343,AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM)_Blue crab (Alimasag)
Soft bottom,Blue crab (Alimasag),Callinectes sapidus,42,"Crabs, sea-spiders",2009.0,422.33000000000004,1427.2524322404613,AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM)_Blue crab (Alimasag)
Soft bottom,Blue crab (Alimasag),Callinectes sapidus,42,"Crabs, sea-spiders",2010.0,365.04,1863.3954479359047,AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM)_Blue crab (Alimasag)
Soft bottom,Blue crab (Alimasag),Callinectes sapidus,42,"Crabs, sea-spiders",2011.0,459.33,1973.3206463912825,AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM)_Blue crab (Alimasag)
Soft bottom,Blue crab (Alimasag),Callinectes sapidus,42,"Crabs, sea-spiders",2012.0,436.87,2280.05996841683,AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM)_Blue crab (Alimasag)
Soft bottom,Blue crab (Alimasag),Callinectes sapidus,42,"Crabs, sea-spiders",2013.0,453.57,2411.52596536261,AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM)_Blue crab (Alimasag)
Soft bottom,Blue crab (Alimasag),Callinectes sapidus,42,"Crabs, sea-spiders",2014.0,446.67,2368.256612454147,AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM)_Blue crab (Alimasag)
Hard bottom,Caesio (Dalagang-bukid),Caesionidae,33,Misc. coastal fishes,2002.0,210.0,481.00793410472176,AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM)_Caesio (Dalagang-bukid)
Hard bottom,Caesio (Dalagang-bukid),Caesionidae,33,Misc. coastal fishes,2003.0,307.0,624.2490873874528,AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM)_Caesio (Dalagang-bukid)
Hard bottom,Caesio (Dalagang-bukid),Caesionidae,33,Misc. coastal fishes,2004.0,156.58,624.220601560936,AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM)_Caesio (Dalagang-bukid)
Hard bottom,Caesio (Dalagang-bukid),Caesionidae,33,Misc. coastal fishes,2005.0,446.99,682.5134663695864,AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM)_Caesio (Dalagang-bukid)
Hard bottom,Caesio (Dalagang-bukid),Caesionidae,33,Misc. coastal fishes,2006.0,906.7299999999999,807.6878901421292,AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM)_Caesio (Dalagang-bukid)
Hard bottom,Caesio (Dalagang-bukid),Caesionidae,33,Misc. coastal fishes,2007.0,1040.3899999999999,946.4965350935831,AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM)_Caesio (Dalagang-bukid)
Hard bottom,Caesio (Dalagang-bukid),Caesionidae,33,Misc. coastal fishes,2008.0,1071.99,1106.5574091779051,AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM)_Caesio (Dalagang-bukid)
Hard bottom,Caesio (Dalagang-bukid),Caesionidae,33,Misc. coastal fishes,2009.0,1090.68,1142.950221988603,AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM)_Caesio (Dalagang-bukid)
Hard bottom,Caesio (Dalagang-bukid),Caesionidae,33,Misc. coastal fishes,2010.0,1162.52,1192.3417053207247,AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM)_Caesio (Dalagang-bukid)
Hard bottom,Caesio (Dalagang-bukid),Caesionidae,33,Misc. coastal fishes,2011.0,1179.92,1360.507760390773,AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM)_Caesio (Dalagang-bukid)
Hard bottom,Caesio (Dalagang-bukid),Caesionidae,33,Misc. coastal fishes,2012.0,1114.43,1424.4822720302952,AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM)_Caesio (Dalagang-bukid)
Hard bottom,Caesio (Dalagang-bukid),Caesionidae,33,Misc. coastal fishes,2013.0,1286.58,1509.3821932097746,AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM)_Caesio (Dalagang-bukid)
